itemLabel,chemicalFormula,mohsHardness,densityValue,colorLabel,crystalSystemLabel,refractiveIndex,mainLocationLabel,image,itemURI
http://www.wikidata.org/entity/Q573870,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Periodo%20degli%20stati%20combattenti%2C%20disco%20cerimoniale%20granellato%20%28bi%29%2C%20in%20giada%2C%20475-221%20ac%20ca.jpg,http://www.wikidata.org/entity/Q573870
http://www.wikidata.org/entity/Q5300152,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Opale%2C%20variante%20nobile%2C%20dal%20queensland%2C%20australia.JPG,http://www.wikidata.org/entity/Q5300152
http://www.wikidata.org/entity/Q5378829,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Enhydros.jpg,http://www.wikidata.org/entity/Q5378829
http://www.wikidata.org/entity/Q751479,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/HPHTdiamonds2.JPG,http://www.wikidata.org/entity/Q751479
http://www.wikidata.org/entity/Q6477906,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Agat%20Lake%20Superior%20%28Lake%20superior%20agate%29%20-%20Minnesota%2C%20USA.jpg,http://www.wikidata.org/entity/Q6477906
http://www.wikidata.org/entity/Q6477906,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Agate%20nodule%20%28%22Lake%20Superior%20Agate%22%29%20%28Jo%20Daviess%20County%2C%20Illinois%2C%20USA%29%2014%20%2834743267776%29.jpg,http://www.wikidata.org/entity/Q6477906
http://www.wikidata.org/entity/Q6477906,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Agate%20nodule%20%28%22Lake%20Superior%20Agate%22%29%20%28Jo%20Daviess%20County%2C%20Illinois%2C%20USA%29%209%20%2834651173151%29.jpg,http://www.wikidata.org/entity/Q6477906
http://www.wikidata.org/entity/Q6794322,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/MawSitSit-G-EmpireTheWorldOfGems.jpg,http://www.wikidata.org/entity/Q6794322
http://www.wikidata.org/entity/Q7148783,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Agatetumbledriverstone.jpg,http://www.wikidata.org/entity/Q7148783
http://www.wikidata.org/entity/Q7675555,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Perles%20de%20Tahiti%20%281%29.JPG,http://www.wikidata.org/entity/Q7675555
http://www.wikidata.org/entity/Q2103412,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Three%20light%20blue%20banded%20agate%20cabochons%202.jpg,http://www.wikidata.org/entity/Q2103412
http://www.wikidata.org/entity/Q9164686,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Diamond-33187.jpg,http://www.wikidata.org/entity/Q9164686
http://www.wikidata.org/entity/Q3149936,,,,http://www.wikidata.org/entity/Q47071,,,,http://commons.wikimedia.org/wiki/Special:FilePath/National%20Museum%20of%20Natural%20History%20Gold%20Colored%20Diamonds.JPG,http://www.wikidata.org/entity/Q3149936
http://www.wikidata.org/entity/Q10855580,,,,,,,,,http://www.wikidata.org/entity/Q10855580
http://www.wikidata.org/entity/Q11303871,,,,,,,,,http://www.wikidata.org/entity/Q11303871
http://www.wikidata.org/entity/Q12541258,,,,,,,,,http://www.wikidata.org/entity/Q12541258
http://www.wikidata.org/entity/Q13050486,,,,,,,,,http://www.wikidata.org/entity/Q13050486
http://www.wikidata.org/entity/Q13471847,,,,,,,,,http://www.wikidata.org/entity/Q13471847
http://www.wikidata.org/entity/Q16584223,,,,,,,,,http://www.wikidata.org/entity/Q16584223
http://www.wikidata.org/entity/Q16870989,,,,,,,,,http://www.wikidata.org/entity/Q16870989
http://www.wikidata.org/entity/Q16960138,,,,,,,,,http://www.wikidata.org/entity/Q16960138
http://www.wikidata.org/entity/Q17102824,,,,,,,,,http://www.wikidata.org/entity/Q17102824
http://www.wikidata.org/entity/Q17232004,,,,,,,,,http://www.wikidata.org/entity/Q17232004
http://www.wikidata.org/entity/Q17629818,,,,,,,,,http://www.wikidata.org/entity/Q17629818
http://www.wikidata.org/entity/Q20979692,,,,,,,,,http://www.wikidata.org/entity/Q20979692
http://www.wikidata.org/entity/Q25510571,,,,,,,,,http://www.wikidata.org/entity/Q25510571
http://www.wikidata.org/entity/Q25510612,,,,,,,,,http://www.wikidata.org/entity/Q25510612
http://www.wikidata.org/entity/Q26033683,,,,,,,,,http://www.wikidata.org/entity/Q26033683
http://www.wikidata.org/entity/Q29220534,,,,,,,,,http://www.wikidata.org/entity/Q29220534
http://www.wikidata.org/entity/Q30921584,,,,,,,,,http://www.wikidata.org/entity/Q30921584
http://www.wikidata.org/entity/Q58968828,,,,,,,,,http://www.wikidata.org/entity/Q58968828
http://www.wikidata.org/entity/Q65276915,,,,,,,,,http://www.wikidata.org/entity/Q65276915
http://www.wikidata.org/entity/Q68429932,,,,,,,,,http://www.wikidata.org/entity/Q68429932
http://www.wikidata.org/entity/Q10508501,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Great%20Star%20of%20Africa%20diamond%20-%20copy.jpg,http://www.wikidata.org/entity/Q10508501
http://www.wikidata.org/entity/Q97097388,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/%E6%AD%B4%E5%8F%B2%E3%82%92%E5%A4%89%E3%81%88%E3%81%9F%E3%83%92%E3%82%B9%E3%82%A4.jpg,http://www.wikidata.org/entity/Q97097388
http://www.wikidata.org/entity/Q17413599,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Brillanten.jpg,http://www.wikidata.org/entity/Q17413599
http://www.wikidata.org/entity/Q11329245,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Padpa.jpg,http://www.wikidata.org/entity/Q11329245
http://www.wikidata.org/entity/Q11334572,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Opal-black1.jpg,http://www.wikidata.org/entity/Q11334572
http://www.wikidata.org/entity/Q12108659,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Grossular-ww51a.jpg,http://www.wikidata.org/entity/Q12108659
http://www.wikidata.org/entity/Q12822126,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Gem.pebbles.800pix.label.jpg,http://www.wikidata.org/entity/Q12822126
http://www.wikidata.org/entity/Q15880515,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Perlas-Joyer%C3%ADa.JPG,http://www.wikidata.org/entity/Q15880515
http://www.wikidata.org/entity/Q16191831,,,,http://www.wikidata.org/entity/Q429220,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Pink%20Diamonds.gif,http://www.wikidata.org/entity/Q16191831
http://www.wikidata.org/entity/Q16960820,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Cerussite%2C%20Royal%20Ontario%20Museum%20%28cropped%29.jpg,http://www.wikidata.org/entity/Q16960820
http://www.wikidata.org/entity/Q16960820,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Cerussite%2C%20side%2C%20Royal%20Ontario%20Museum.jpg,http://www.wikidata.org/entity/Q16960820
http://www.wikidata.org/entity/Q17007270,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/B%C3%A9ryl%20var.%20%C3%A9meraude%20sur%20gangue%20%28Muzo%20Mine%20Boyaca%20-%20Colombie%29%204.jpg,http://www.wikidata.org/entity/Q17007270
http://www.wikidata.org/entity/Q29386288,,,,http://www.wikidata.org/entity/Q429220,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Brosch%20av%20korall%2C%20del%20av%20garnityr%20-%20Hallwylska%20museet%20-%20109864.tif,http://www.wikidata.org/entity/Q29386288
http://www.wikidata.org/entity/Q29386288,,,,http://www.wikidata.org/entity/Q2411228,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Brosch%20av%20korall%2C%20del%20av%20garnityr%20-%20Hallwylska%20museet%20-%20109864.tif,http://www.wikidata.org/entity/Q29386288
http://www.wikidata.org/entity/Q20827212,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Mabe%20pearl%20cut%20from%20its%20shell%201.jpg,http://www.wikidata.org/entity/Q20827212
http://www.wikidata.org/entity/Q30680562,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/DeYoung%20Red%20Diamond%2001.jpg,http://www.wikidata.org/entity/Q30680562
http://www.wikidata.org/entity/Q29727315,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Sfalerite%20sfaccettata%20%28stella%20delle%20asturie%29%2C%20163%2C4%20carati%20%28record%20conosciuto%29.JPG,http://www.wikidata.org/entity/Q29727315
http://www.wikidata.org/entity/Q29727881,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Scapolite%2C%20da%20merelani%2C%20tanzania.JPG,http://www.wikidata.org/entity/Q29727881
http://www.wikidata.org/entity/Q29729128,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Spudomene%20sfaccettato%2C%20da%20minas%20geiras%2C%20brasile.JPG,http://www.wikidata.org/entity/Q29729128
